AÑO,O,D,OPERACIÓN,TIPO DE CARGA,PRODUCTO,CARGA (TON/AÑO),ORIGEN_PROVINCIA,DESTINO_PROVINCIA,ORIGEN_REGION,DESTINO_REGION
2013,3,7,Exportación,CONTENEDOR,Manufacturas,"497,2",Quillota,Valparaíso,Valparaíso,Valparaíso
2013,3,7,Exportación,NO CONTENEDOR,Manufacturas,"0,5",Quillota,Valparaíso,Valparaíso,Valparaíso
2013,3,7,Exportación,CONTENEDOR,Maquinarias y vehículos,"333,5",Quillota,Valparaíso,Valparaíso,Valparaíso
2013,3,7,Exportación,NO CONTENEDOR,Maquinarias y vehículos,"1.020,7",Quillota,Valparaíso,Valparaíso,Valparaíso
2013,3,7,Exportación,CONTENEDOR,Materiales de Construcción,"2.515,3",Quillota,Valparaíso,Valparaíso,Valparaíso
2013,3,7,Exportación,NO CONTENEDOR,Materiales de Construcción,"4.791,2",Quillota,Valparaíso,Valparaíso,Valparaíso
2013,3,9,Exportación,CONTENEDOR,Alimentos y bebidas,"2.576,8",Quillota,San Antonio,Valparaíso,Valparaíso
2013,3,9,Exportación,NO CONTENEDOR,Alimentos y bebidas,"5,9",Quillota,San Antonio,Valparaíso,Valparaíso
2013,3,9,Exportación,CONTENEDOR,Frutas,"17.722,8",Quillota,San Antonio,Valparaíso,Valparaíso
2013,3,9,Exportación,NO CONTENEDOR,Frutas,"895,2",Quillota,San Antonio,Valparaíso,Valparaíso
2013,3,9,Exportación,CONTENEDOR,Carne y pesca,"9.666,3",Quillota,San Antonio,Valparaíso,Valparaíso
2013,3,9,Exportación,NO CONTENEDOR,Carne y pesca,"8,7",Quillota,San Antonio,Valparaíso,Valparaíso
2013,3,9,Exportación,CONTENEDOR,Productos químicos,"939,6",Quillota,San Antonio,Valparaíso,Valparaíso
2013,3,9,Exportación,NO CONTENEDOR,Productos químicos,682,Quillota,San Antonio,Valparaíso,Valparaíso
2013,4,6,Exportación,CONTENEDOR,Alimentos y bebidas,"3.285,6",Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,NO CONTENEDOR,Alimentos y bebidas,"65,5",Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,CONTENEDOR,Frutas,"63.911,4",Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,NO CONTENEDOR,Frutas,"18.255,6",Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,CONTENEDOR,Otros productos,"206,8",Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,NO CONTENEDOR,Otros productos,8.324,Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,CONTENEDOR,Maquinarias y vehículos,"468,1",Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,NO CONTENEDOR,Maquinarias y vehículos,"3.532,1",Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,CONTENEDOR,Materiales de Construcción,1.639,Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,6,Exportación,NO CONTENEDOR,Materiales de Construcción,"276,3",Los Andes,Valparaíso,Valparaíso,Valparaíso
2013,4,9,Exportación,CONTENEDOR,Frutas,"30.760,7",Los Andes,San Antonio,Valparaíso,Valparaíso
2013,4,9,Exportación,NO CONTENEDOR,Frutas,"1.553,6",Los Andes,San Antonio,Valparaíso,Valparaíso
2013,5,6,Exportación,CONTENEDOR,Alimentos y bebidas,"5.603,3",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,NO CONTENEDOR,Alimentos y bebidas,"111,7",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,CONTENEDOR,Frutas,"890,1",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,NO CONTENEDOR,Frutas,"254,3",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,CONTENEDOR,Carne y pesca,"4.813,4",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,NO CONTENEDOR,Carne y pesca,"31,2",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,CONTENEDOR,Cobre y minerales metálicos,"232.079,3",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,NO CONTENEDOR,Cobre y minerales metálicos,37.978,Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,CONTENEDOR,Manufacturas,"3.306,4",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,NO CONTENEDOR,Manufacturas,"38,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,CONTENEDOR,Productos químicos,"1.063,6",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,NO CONTENEDOR,Productos químicos,"227,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,CONTENEDOR,Materiales de Construcción,"1.507,5",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,6,Exportación,NO CONTENEDOR,Materiales de Construcción,"515,4",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,CONTENEDOR,Alimentos y bebidas,"4.552,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
